,cardname,text,cmc,mana,type,Type
17342,Corpse Hauler,"{2}{B}, Sacrifice Corpse Hauler: Return another target creature card from your graveyard to your hand.",2,{1}{B},Creature - Human Rogue,
17344,Cyclops Tyrant,"Intimidate (This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.)
Cyclops Tyrant can't block creatures with power 2 or less.",6,{5}{R},Creature - Cyclops,
17346,Dark Prophecy,"Whenever a creature you control dies, you draw a card and you lose 1 life.",3,{B}{B}{B},Enchantment,
17349,Dawnstrike Paladin,"Vigilance (Attacking doesn't cause this creature to tap.)
Lifelink (Damage dealt by this creature also causes you to gain that much life.)",5,{3}{W}{W},Creature - Human Knight,
17351,Deathgaze Cockatrice,"Flying
Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)",4,{2}{B}{B},Creature - Cockatrice,
17353,Devout Invocation,Tap any number of untapped creatures you control. Create a 4/4 white Angel creature token with flying for each creature tapped this way.,7,{6}{W},Sorcery,
17355,Dismiss into Dream,"Each creature your opponents control is an Illusion in addition to its other types and has ""When this creature becomes the target of a spell or ability, sacrifice it.""",7,{6}{U},Enchantment,
17362,Dragon Egg,"Defender
When Dragon Egg dies, create a 2/2 red Dragon creature token with flying and ""{R}: This creature gets +1/+0 until end of turn.""",3,{2}{R},Creature - Dragon Egg,
17365,Elite Arcanist,"When Elite Arcanist enters the battlefield, you may exile an instant card from your hand.
{X}, {T}: Copy the exiled card. You may cast the copy without paying its mana cost. X is the mana value of the exiled card.",4,{3}{U},Creature - Human Wizard,
17367,Elvish Mystic,{T}: Add {G}.,1,{G},Creature - Elf Druid,
17368,Encroaching Wastes,"{T}: Add {C}.
{4}, {T}, Sacrifice Encroaching Wastes: Destroy target nonbasic land.",0,,Land,
17369,Enlarge,Target creature gets +7/+7 and gains trample until end of turn. It must be blocked this turn if able. (A creature with trample can deal excess combat damage to the player or planeswalker it's attacking.),5,{3}{G}{G},Sorcery,
17371,Festering Newt,"When Festering Newt dies, target creature an opponent controls gets -1/-1 until end of turn. That creature gets -4/-4 instead if you control a creature named Bogbrew Witch.",1,{B},Creature - Salamander,
17372,Fiendslayer Paladin,"First strike (This creature deals combat damage before creatures without first strike.)
Lifelink (Damage dealt by this creature also causes you to gain that much life.)
Fiendslayer Paladin can't be the target of black or red spells your opponents control.",3,{1}{W}{W},Creature - Human Knight,
17375,Fleshpulper Giant,"When Fleshpulper Giant enters the battlefield, you may destroy target creature with toughness 2 or less.",7,{5}{R}{R},Creature - Giant,
17380,Galerider Sliver,Sliver creatures you control have flying.,1,{U},Creature - Sliver,
17381,"Garruk, Caller of Beasts","+1: Reveal the top five cards of your library. Put all creature cards revealed this way into your hand and the rest on the bottom of your library in any order.
−3: You may put a green creature card from your hand onto the battlefield.
−7: You get an emblem with ""Whenever you cast a creature spell, you may search your library for a creature card, put it onto the battlefield, then shuffle.""",6,{4}{G}{G},Legendary Planeswalker - Garruk,
17386,Glimpse the Future,Look at the top three cards of your library. Put one of them into your hand and the rest into your graveyard.,3,{2}{U},Sorcery,
17387,Gnawing Zombie,"{1}{B}, Sacrifice a creature: Target player loses 1 life and you gain 1 life.",2,{1}{B},Creature - Zombie,
17388,Goblin Diplomats,{T}: Each creature attacks this turn if able.,2,{1}{R},Creature - Goblin,
17391,Grim Return,Choose target creature card in a graveyard that was put there from the battlefield this turn. Put that card onto the battlefield under your control.,3,{2}{B},Instant,
17392,Groundshaker Sliver,Sliver creatures you control have trample. (A creature with trample can deal excess combat damage to the player or planeswalker it's attacking.),7,{6}{G},Creature - Sliver,
17393,Guardian of the Ages,"Defender (This creature can't attack.)
When a creature attacks you or a planeswalker you control, if Guardian of the Ages has defender, it loses defender and gains trample.",7,{7},Artifact Creature - Golem,
17394,Haunted Plate Mail,"Equipped creature gets +4/+4.
{0}: Until end of turn, Haunted Plate Mail becomes a 4/4 Spirit artifact creature that's no longer an Equipment. Activate only if you control no creatures.
Equip {4} ({4}: Attach to target creature you control. Equip only as a sorcery.)",4,{4},Artifact - Equipment,
17395,Hive Stirrings,Create two 1/1 colorless Sliver creature tokens.,3,{2}{W},Sorcery,
17397,Hunt the Weak,Put a +1/+1 counter on target creature you control. Then that creature fights target creature you don't control. (Each deals damage equal to its power to the other.),4,{3}{G},Sorcery,
17398,Illusionary Armor,"Enchant creature
Enchanted creature gets +4/+4.
When enchanted creature becomes the target of a spell or ability, sacrifice Illusionary Armor.",5,{4}{U},Enchantment - Aura,
17399,Imposing Sovereign,Creatures your opponents control enter the battlefield tapped.,2,{1}{W},Creature - Human Noble,
17401,Into the Wilds,"At the beginning of your upkeep, look at the top card of your library. If it's a land card, you may put it onto the battlefield.",4,{3}{G},Enchantment,
17404,Jace's Mindseeker,"Flying
When Jace's Mindseeker enters the battlefield, target opponent mills five cards. You may cast an instant or sorcery spell from among them without paying its mana cost.",6,{4}{U}{U},Creature - Fish Illusion,
17405,Kalonian Hydra,"Trample
Kalonian Hydra enters the battlefield with four +1/+1 counters on it.
Whenever Kalonian Hydra attacks, double the number of +1/+1 counters on each creature you control.",5,{3}{G}{G},Creature - Hydra,
17406,Kalonian Tusker,,2,{G}{G},Creature - Beast,
17409,Lifebane Zombie,"Intimidate (This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.)
When Lifebane Zombie enters the battlefield, target opponent reveals their hand. You choose a green or white creature card from it and exile that card.",3,{1}{B}{B},Creature - Zombie Warrior,
17412,Liliana's Reaver,"Deathtouch
Whenever Liliana's Reaver deals combat damage to a player, that player discards a card and you create a tapped 2/2 black Zombie creature token.",4,{2}{B}{B},Creature - Zombie,
17413,Liturgy of Blood,Destroy target creature. Add {B}{B}{B}.,5,{3}{B}{B},Sorcery,
17414,Manaweft Sliver,"Sliver creatures you control have ""{T}: Add one mana of any color.""",2,{1}{G},Creature - Sliver,
17415,Marauding Maulhorn,Marauding Maulhorn attacks each combat if able unless you control a creature named Advocate of the Beast.,4,{2}{R}{R},Creature - Beast,
17417,Master of Diversion,"Whenever Master of Diversion attacks, tap target creature defending player controls.",3,{2}{W},Creature - Human Scout,
17418,Megantic Sliver,Sliver creatures you control get +3/+3.,6,{5}{G},Creature - Sliver,
17420,Messenger Drake,"Flying
When Messenger Drake dies, draw a card.",5,{3}{U}{U},Creature - Drake,
17423,Mindsparker,"First strike (This creature deals combat damage before creatures without first strike.)
Whenever an opponent casts a white or blue instant or sorcery spell, Mindsparker deals 2 damage to that player.",3,{1}{R}{R},Creature - Elemental,
17424,Minotaur Abomination,,6,{4}{B}{B},Creature - Zombie Minotaur,
17425,Molten Birth,"Create two 1/1 red Elemental creature tokens, then flip a coin. If you win the flip, return Molten Birth to its owner's hand.",3,{1}{R}{R},Sorcery,
17433,Oath of the Ancient Wood,"Whenever Oath of the Ancient Wood or another enchantment enters the battlefield under your control, you may put a +1/+1 counter on target creature.",3,{2}{G},Enchantment,
17434,Ogre Battledriver,"Whenever another creature enters the battlefield under your control, that creature gets +2/+0 and gains haste until end of turn. (It can attack and {T} this turn.)",4,{2}{R}{R},Creature - Ogre Warrior,
17437,Path of Bravery,"As long as your life total is greater than or equal to your starting life total, creatures you control get +1/+1.
Whenever one or more creatures you control attack, you gain life equal to the number of attacking creatures.",3,{2}{W},Enchantment,
17445,Predatory Sliver,Sliver creatures you control get +1/+1.,2,{1}{G},Creature - Sliver,
17446,Primeval Bounty,"Whenever you cast a creature spell, create a 3/3 green Beast creature token.
Whenever you cast a noncreature spell, put three +1/+1 counters on target creature you control.
Landfall - Whenever a land enters the battlefield under your control, you gain 3 life.",6,{5}{G},Enchantment,
17447,Pyromancer's Gauntlet,"If a red instant or sorcery spell you control or a red planeswalker you control would deal damage to a permanent or player, it deals that much damage plus 2 to that permanent or player instead.",5,{5},Artifact,
17450,Ranger's Guile,Target creature you control gets +1/+1 and gains hexproof until end of turn. (It can't be the target of spells or abilities your opponents control.),1,{G},Instant,
17452,Regathan Firecat,,3,{2}{R},Creature - Elemental Cat,
17453,Ring of Three Wishes,"Ring of Three Wishes enters the battlefield with three wish counters on it.
{5}, {T}, Remove a wish counter from Ring of Three Wishes: Search your library for a card, put that card into your hand, then shuffle.",5,{5},Artifact,
17454,Rise of the Dark Realms,Put all creature cards from all graveyards onto the battlefield under your control.,9,{7}{B}{B},Sorcery,
17456,Rootwalla,{1}{G}: Rootwalla gets +2/+2 until end of turn. Activate only once each turn.,3,{2}{G},Creature - Lizard,
17457,Rumbling Baloth,,4,{2}{G}{G},Creature - Beast,
17458,Sanguine Bond,"Whenever you gain life, target opponent loses that much life.",5,{3}{B}{B},Enchantment,
17459,Savage Summoning,"This spell can't be countered.
The next creature spell you cast this turn can be cast as though it had flash. That spell can't be countered. That creature enters the battlefield with an additional +1/+1 counter on it.",1,{G},Instant,
17460,Scavenging Ooze,"{G}: Exile target card from a graveyard. If it was a creature card, put a +1/+1 counter on Scavenging Ooze and you gain 1 life.",2,{1}{G},Creature - Ooze,
17461,Scourge of Valkas,"Flying
Whenever Scourge of Valkas or another Dragon enters the battlefield under your control, it deals X damage to any target, where X is the number of Dragons you control.
{R}: Scourge of Valkas gets +1/+0 until end of turn.",5,{2}{R}{R}{R},Creature - Dragon,
17463,Seacoast Drake,Flying,2,{1}{U},Creature - Drake,
17464,Seismic Stomp,Creatures without flying can't block this turn.,2,{1}{R},Sorcery,
17466,Sensory Deprivation,"Enchant creature
Enchanted creature gets -3/-0.",1,{U},Enchantment - Aura,
17467,Sentinel Sliver,Sliver creatures you control have vigilance. (Attacking doesn't cause them to tap.),2,{1}{W},Creature - Sliver,
17468,Seraph of the Sword,"Flying
Prevent all combat damage that would be dealt to Seraph of the Sword.",4,{3}{W},Creature - Angel,
17470,Shadowborn Apostle,"A deck can have any number of cards named Shadowborn Apostle.
{B}, Sacrifice six creatures named Shadowborn Apostle: Search your library for a Demon creature card, put it onto the battlefield, then shuffle.",1,{B},Creature - Human Cleric,
17491,Anax and Cymede,"First strike, vigilance
Heroic - Whenever you cast a spell that targets Anax and Cymede, creatures you control get +1/+1 and gain trample until end of turn.",3,{1}{R}{W},Legendary Creature - Human Soldier,
17499,Cavalry Pegasus,"Flying
Whenever Cavalry Pegasus attacks, each attacking Human gains flying until end of turn.",2,{1}{W},Creature - Pegasus,
17507,Destructive Revelry,Destroy target artifact or enchantment. Destructive Revelry deals 2 damage to that permanent's controller.,2,{R}{G},Instant,
17531,Ordeal of Purphoros,"Enchant creature
Whenever enchanted creature attacks, put a +1/+1 counter on it. Then if it has three or more +1/+1 counters on it, sacrifice Ordeal of Purphoros.
When you sacrifice Ordeal of Purphoros, it deals 3 damage to any target.",2,{1}{R},Enchantment - Aura,
17534,"Polukranos, World Eater","{X}{X}{G}: Monstrosity X. (If this creature isn't monstrous, put X +1/+1 counters on it and it becomes monstrous.)
When Polukranos, World Eater becomes monstrous, it deals X damage divided as you choose among any number of target creatures your opponents control. Each of those creatures deals damage equal to its power to Polukranos.",4,{2}{G}{G},Legendary Creature - Hydra,
17540,Satyr Hedonist,"{R}, Sacrifice Satyr Hedonist: Add {R}{R}{R}.",2,{1}{G},Creature - Satyr,
17545,Smite the Monstrous,Destroy target creature with power 4 or greater.,4,{3}{W},Instant,
17546,Somberwald Vigilante,"Whenever Somberwald Vigilante becomes blocked by a creature, Somberwald Vigilante deals 1 damage to that creature.",1,{R},Creature - Human Warrior,
17549,Sun Titan,"Vigilance
Whenever Sun Titan enters the battlefield or attacks, you may return target permanent card with mana value 3 or less from your graveyard to the battlefield.",6,{4}{W}{W},Creature - Giant,
17550,Terrifying Presence,Prevent all combat damage that would be dealt by creatures other than target creature this turn.,2,{1}{G},Instant,
17551,Thraben Valiant,Vigilance,2,{1}{W},Creature - Human Soldier,
17553,Truefire Paladin,"Vigilance
{R}{W}: Truefire Paladin gets +2/+0 until end of turn.
{R}{W}: Truefire Paladin gains first strike until end of turn.",2,{R}{W},Creature - Human Knight,
